tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,cur_passengers,cur_fare,ly_fare,ly_passengers,amount_change,percent_change,amount_change_pax,percent_change_pax,Geocoded_City1,Geocoded_City2
Table 4,2017,2,30423,33198,"Austin, TX","Kansas City, MO",27120,189.79,261.58,17760,-71.79,-0.2744,9360,0.527,"Austin, TX
(30.264979, -97.746598)","Kansas City, MO
(39.099792, -94.578559)"
Table 4,2018,3,30325,33044,"Denver, CO","Louisville, KY",27870,178.97,233.31,19790,-54.33,-0.2329,8080,0.4083,,
Table 4,2018,3,30325,33728,"Denver, CO","Pensacola, FL",22740,177.91,257.98,11310,-80.08,-0.3104,11430,1.0106,,
Table 4,2018,3,30325,34321,"Denver, CO","Portland, ME",24830,213.73,287.89,13810,-74.16,-0.2576,11020,0.798,,
Table 4,2018,3,30325,35096,"Denver, CO","Syracuse, NY",19300,231.15,322.04,10980,-90.9,-0.2822,8320,0.7577,,
Table 4,2018,3,30397,30693,"Atlanta, GA (Metropolitan Area)","Nashville, TN",39290,180.15,298.97,22020,-118.82,-0.3974,17270,0.7843,,
Table 4,2018,3,30423,31066,"Austin, TX","Columbus, OH",21000,171.87,246.78,14350,-74.91,-0.3036,6650,0.4634,,
Table 4,2018,3,30423,31650,"Austin, TX","Minneapolis/St. Paul, MN",50030,199.43,250.07,38480,-50.64,-0.2025,11550,0.3002,,
Table 4,2018,3,30423,33195,"Austin, TX","Tampa, FL (Metropolitan Area)",33670,171.81,222.13,23590,-50.32,-0.2265,10080,0.4273,,
Table 4,2018,3,30423,33495,"Austin, TX","New Orleans, LA",37700,156.05,197.11,26610,-41.05,-0.2083,11090,0.4168,,
Table 4,2018,3,30423,34492,"Austin, TX","Raleigh/Durham, NC",29880,189.35,239.21,24800,-49.86,-0.2084,5080,0.2048,,
Table 4,2018,3,30599,30325,"Birmingham, AL","Denver, CO",23020,222.86,313.19,12310,-90.34,-0.2884,10710,0.87,,
Table 4,2018,3,30647,33342,"Cleveland, OH (Metropolitan Area)","Milwaukee, WI",25680,122.59,262.74,9960,-140.15,-0.5334,15720,1.5783,,
Table 4,2018,3,30721,31650,"Boston, MA (Metropolitan Area)","Minneapolis/St. Paul, MN",207970,164.85,242.23,156440,-77.37,-0.3194,51530,0.3294,,
Table 4,2018,3,30792,30325,"Buffalo, NY","Denver, CO",28110,201.6,263.75,21490,-62.15,-0.2356,6620,0.308,,
Table 4,2018,3,30977,30615,"Chicago, IL","El Paso, TX",31290,194.04,268.64,21630,-74.59,-0.2777,9660,0.4466,,
Table 4,2018,3,30977,31136,"Chicago, IL","Jacksonville, FL",63660,200.69,255.63,42400,-54.93,-0.2149,21260,0.5014,,
Table 4,2018,3,30977,34321,"Chicago, IL","Portland, ME",25260,264.04,339.11,13310,-75.07,-0.2214,11950,0.8978,,
Table 4,2018,3,30977,34685,"Chicago, IL","Savannah, GA",22680,219.73,312.88,12960,-93.15,-0.2977,9720,0.75,,
Table 4,2018,3,30994,30325,"Charleston, SC","Denver, CO",29740,193.21,267.49,18240,-74.27,-0.2777,11500,0.6305,,
Table 4,2018,3,30994,30977,"Charleston, SC","Chicago, IL",67240,165.53,215.73,45800,-50.21,-0.2327,21440,0.4681,,
Table 4,2018,3,31066,31453,"Columbus, OH","Houston, TX",32780,256.75,321.66,22000,-64.91,-0.2018,10780,0.49,,
Table 4,2018,3,31136,32211,"Jacksonville, FL","Las Vegas, NV",24920,212.31,275.55,17550,-63.24,-0.2295,7370,0.4199,,
Table 4,2018,3,31136,34100,"Jacksonville, FL","Philadelphia, PA",36300,227.02,289.12,22860,-62.1,-0.2148,13440,0.5879,,
Table 4,2018,3,31295,33570,"Detroit, MI","San Diego, CA",76180,225.95,292.25,53930,-66.3,-0.2269,22250,0.4126,,
Table 4,2018,3,31453,33044,"Houston, TX","Louisville, KY",20080,242.4,318.25,10510,-75.85,-0.2383,9570,0.9106,,
Table 4,2018,3,31453,33192,"Houston, TX","Sacramento, CA",34540,250.73,317.07,23830,-66.35,-0.2092,10710,0.4494,,
Table 4,2018,3,31453,33342,"Houston, TX","Milwaukee, WI",33070,200.85,252.46,16690,-51.61,-0.2044,16380,0.9814,,
Table 4,2018,3,31454,34653,"Orlando, FL","Tulsa, OK",18900,165.36,215.3,10950,-49.94,-0.232,7950,0.726,,
Table 4,2018,3,31714,34100,"Fort Myers, FL","Philadelphia, PA",43660,164.52,233.97,24310,-69.46,-0.2968,19350,0.796,,
Table 4,2018,3,32211,33044,"Las Vegas, NV","Louisville, KY",27890,194.41,253.07,18630,-58.66,-0.2318,9260,0.497,,
Table 4,2018,3,32211,33316,"Las Vegas, NV","Omaha, NE",42050,156.77,207.2,31070,-50.42,-0.2434,10980,0.3534,,
Table 4,2018,3,32457,34689,"San Francisco, CA (Metropolitan Area)","Santa Barbara, CA",20370,229.55,320.13,9930,-90.59,-0.283,10440,1.0514,,
Table 4,2018,3,33198,34492,"Kansas City, MO","Raleigh/Durham, NC",28950,157.72,235.93,18980,-78.21,-0.3315,9970,0.5253,,
Table 4,2018,3,33214,33195,"San Antonio, TX","Tampa, FL (Metropolitan Area)",23850,197.92,251.99,19290,-54.07,-0.2146,4560,0.2364,,
Table 4,2018,3,33214,33570,"San Antonio, TX","San Diego, CA",40220,206.53,268.1,33490,-61.58,-0.2297,6730,0.201,,
