tbl,Year,quarter,citymarketid_Dept,citymarketid_Arriv,Departure_city,Arrival_city,Airportid_Departure,Airportid_Arrival,D_airport_code,A_airport_code,Non_stop_Miles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,Geocoded_Departure,Geocoded_Arrival,tbl1apk
Table1a,2018,4,32575,33195,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",12892,15304,LAX,TPA,2158,792,296.07,DL,0.3715,368.4,WN,0.338,241.02,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841289215304LAXTPA
Table1a,2018,4,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",12892,14747,LAX,SEA,978,4151,177.68,AS,0.5631,169.76,AS,0.5631,169.76,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841289214747LAXSEA
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12892,12264,LAX,IAD,2329,2059,310.32,UA,0.5517,357.82,AS,0.2095,226.8,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841289212264LAXIAD
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12892,11278,LAX,DCA,2329,1388,305.38,AA,0.4535,321.18,AS,0.202,260.36,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841289211278LAXDCA
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12892,10821,LAX,BWI,2329,1605,221.51,WN,0.4442,242.89,NK,0.1541,123.65,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841289210821LAXBWI
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",10800,10821,BUR,BWI,2329,51,281.68,WN,0.8174,265.32,WN,0.8174,265.32,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841080010821BURBWI
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",10800,11278,BUR,DCA,2329,18,337.78,WN,0.4464,264.13,WN,0.4464,264.13,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841080011278BURDCA
Table1a,2018,4,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",10800,12264,BUR,IAD,2329,16,312.92,UA,0.5608,339.25,WN,0.3108,264.27,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841080012264BURIAD
Table1a,2018,4,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",10800,14747,BUR,SEA,978,963,184.48,AS,0.7926,189.78,WN,0.1412,159.81,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841080014747BURSEA
Table1a,2018,4,32575,33195,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",10800,15304,BUR,TPA,2158,35,300.37,WN,0.6978,266.6,WN,0.6978,266.6,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841080015304BURTPA
Table1a,2018,4,32575,33195,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",13891,15304,ONT,TPA,2158,61,302.79,AA,0.4811,322.3,WN,0.4022,271.58,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841389115304ONTTPA
Table1a,2018,4,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",14908,14747,SNA,SEA,978,2073,188.01,AS,0.7614,186.28,AS,0.7614,186.28,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841490814747SNASEA
Table1a,2018,4,32575,33195,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",14908,15304,SNA,TPA,2158,122,336.13,AA,0.3662,363.39,WN,0.1671,301.0,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",,201841490815304SNATPA
