tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,Geocoded_City1,Geocoded_City2,tbl1apk
Table1a,2018,4,30257,30852,"Albany, NY","Washington, DC (Metropolitan Area)",10257,11278,ALB,DCA,325,203,190.81,AA,0.9775,190.74,AA,0.9775,190.74,,,201841025711278ALBDCA
Table1a,2018,4,30257,32575,"Albany, NY","Los Angeles, CA (Metropolitan Area)",10257,14908,ALB,SNA,2468,30,363.14,UA,0.4599,331,UA,0.4599,331,,,201841025714908ALBSNA
Table1a,2018,4,30257,33195,"Albany, NY","Tampa, FL (Metropolitan Area)",10257,14112,ALB,PIE,1138,27,100.78,G4,1,100.78,G4,1,100.78,,,201841025714112ALBPIE
Table1a,2018,4,30257,30852,"Albany, NY","Washington, DC (Metropolitan Area)",10257,12264,ALB,IAD,325,15,184.86,UA,0.9854,184.48,UA,0.9854,184.48,,,201841025712264ALBIAD
Table1a,2018,4,30257,32467,"Albany, NY","Miami, FL (Metropolitan Area)",10257,11697,ALB,FLL,1225,368,188.2,B6,0.6067,185.63,B6,0.6067,185.63,,,201841025711697ALBFLL
Table1a,2018,4,30257,30977,"Albany, NY","Chicago, IL",10257,13930,ALB,ORD,723,222,260.76,UA,0.6424,254.18,UA,0.6424,254.18,,,201841025713930ALBORD
Table1a,2018,4,30257,33195,"Albany, NY","Tampa, FL (Metropolitan Area)",10257,15304,ALB,TPA,1138,299,208.4,WN,0.8169,200.83,WN,0.8169,200.83,,,201841025715304ALBTPA
Table1a,2018,4,30257,32575,"Albany, NY","Los Angeles, CA (Metropolitan Area)",10257,12892,ALB,LAX,2468,175,333.41,UA,0.359,300.01,WN,0.2653,290.78,,,201841025712892ALBLAX
Table1a,2018,4,30257,32575,"Albany, NY","Los Angeles, CA (Metropolitan Area)",10257,12954,ALB,LGB,2468,1,258.17,WN,0.8333,248.2,WN,0.8333,248.2,,,201841025712954ALBLGB
Table1a,2018,4,30257,32575,"Albany, NY","Los Angeles, CA (Metropolitan Area)",10257,10800,ALB,BUR,2468,13,325.52,WN,0.9052,317.13,UA,0.0345,266.98,,,201841025710800ALBBUR
Table1a,2018,4,30257,30977,"Albany, NY","Chicago, IL",10257,13232,ALB,MDW,723,86,242.38,WN,0.9785,241.56,WN,0.9785,241.56,,,201841025713232ALBMDW
Table1a,2018,4,30257,32467,"Albany, NY","Miami, FL (Metropolitan Area)",10257,13303,ALB,MIA,1225,31,264.68,AA,0.6411,270.69,DL,0.2509,268.18,,,201841025713303ALBMIA
Table1a,2018,4,30257,32575,"Albany, NY","Los Angeles, CA (Metropolitan Area)",10257,13891,ALB,ONT,2468,13,312.18,WN,0.7778,288.37,F9,0.0427,137,,,201841025713891ALBONT
Table1a,2018,4,30257,30852,"Albany, NY","Washington, DC (Metropolitan Area)",10257,10821,ALB,BWI,325,226,169.07,WN,0.9913,168.34,WN,0.9913,168.34,,,201841025710821ALBBWI
Table1a,2018,4,30140,31453,"Albuquerque, NM","Houston, TX",10140,12266,ABQ,IAH,759,139,269.76,UA,0.9349,267.69,UA,0.9349,267.69,,,201841014012266ABQIAH
Table1a,2018,4,30140,31453,"Albuquerque, NM","Houston, TX",10140,12191,ABQ,HOU,759,232,238.48,WN,0.9873,238.13,WN,0.9873,238.13,,,201841014012191ABQHOU
Table1a,2018,4,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,12391,ABQ,ISP,1861,8,342.99,WN,0.9079,349.02,AA,0.0789,292,,,201841014012391ABQISP
Table1a,2018,4,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,11618,ABQ,EWR,1861,94,350.74,UA,0.4597,382.97,WN,0.2339,276.21,,,201841014011618ABQEWR
Table1a,2018,4,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",10140,10800,ABQ,BUR,677,62,203.73,WN,0.8944,196.13,WN,0.8944,196.13,,,201841014010800ABQBUR
Table1a,2018,4,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,12953,ABQ,LGA,1861,189,247.91,AA,0.3658,254.65,UA,0.2396,212.73,,,201841014012953ABQLGA
