Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,table_1_flag,Geocoded_City1,Geocoded_City2
2017,1,31057,34614,"Charlotte, NC","Salt Lake City, UT",1727,257,266.93,DL,0.4743,276.41,AA,0.4163,264.35,1,"Charlotte, NC
(35.222936, -80.840161)","Salt Lake City, UT
(40.758478, -111.888142)"
2017,1,30666,30466,"Bellingham, WA","Phoenix, AZ",1208,173,124.68,G4,0.7641,108.19,G4,0.7641,108.19,1,"Bellingham, WA
(41.698264, -88.077915)","Phoenix, AZ
(30.406931, -87.217578)"
2017,1,34614,30559,"Salt Lake City, UT","Seattle, WA",689,950,192.68,DL,0.4988,205.89,AS,0.4483,180.66,1,"Salt Lake City, UT
(40.758478, -111.888142)","Seattle, WA
(47.603229, -122.33028)"
2017,2,33244,31703,"Memphis, TN","New York City, NY (Metropolitan Area)",1002,598,293.36,AA,0.3623,273.59,AA,0.3623,273.59,1,"Memphis, TN
(35.143378, -90.052136)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)"
2017,3,33198,31123,"Kansas City, MO","St. Louis, MO",237,202,155.21,WN,1,155.21,WN,1,155.21,1,"Kansas City, MO
(39.099792, -94.578559)","St. Louis, MO
(38.630276, -90.200309)"
2017,1,34492,30852,"Raleigh/Durham, NC","Washington, DC (Metropolitan Area)",255,1103,163.85,WN,0.3199,169.05,DL,0.2545,138.18,1,"Raleigh/Durham, NC
(42.673348, -72.179683)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
2017,2,33105,30852,"Cincinnati, OH","Washington, DC (Metropolitan Area)",430,723,178.02,DL,0.4726,207.45,WN,0.1497,99.12,1,"Cincinnati, OH
(39.104427, -84.513808)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
2017,1,33198,33214,"Kansas City, MO","San Antonio, TX",706,272,185.12,WN,0.7852,176.41,WN,0.7852,176.41,1,"Kansas City, MO
(39.099792, -94.578559)","San Antonio, TX
(29.425173, -98.494599)"
2017,3,30599,30977,"Birmingham, AL","Chicago, IL",584,388,205.01,WN,0.4226,196.65,WN,0.4226,196.65,1,"Birmingham, AL
(33.522859, -86.807705)","Chicago, IL
(41.775002, -87.696388)"
2017,3,30721,31136,"Boston, MA (Metropolitan Area)","Jacksonville, FL",1028,594,198.06,B6,0.4674,192.67,WN,0.1922,184.7,1,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Jacksonville, FL
(30.325968, -81.65676)"
2017,2,30397,30325,"Atlanta, GA (Metropolitan Area)","Denver, CO",1199,2247,187.85,DL,0.3447,231.42,F9,0.1858,107.29,1,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Denver, CO
(39.738453, -104.984853)"
2017,2,33105,32575,"Cincinnati, OH","Los Angeles, CA (Metropolitan Area)",1900,852,236.75,DL,0.4322,308.01,F9,0.3703,124.26,1,"Cincinnati, OH
(39.104427, -84.513808)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)"
2017,3,30693,33192,"Nashville, TN","Sacramento, CA",1917,191,278.84,WN,0.5679,278.38,WN,0.5679,278.38,1,"Nashville, TN
(36.166687, -86.779932)","Sacramento, CA
(38.582087, -121.50012)"
2017,2,32575,34100,"Los Angeles, CA (Metropolitan Area)","Philadelphia, PA",2402,2320,316.9,AA,0.6004,368.53,NK,0.1111,146.13,1,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Philadelphia, PA
(39.951061, -75.16562)"
2017,3,32575,31703,"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)",2510,12958,370.64,UA,0.2339,364.86,VX,0.1364,316.84,1,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)"
2017,1,33851,30559,"Oklahoma City, OK","Seattle, WA",1519,166,215.96,AS,0.4666,216.26,WN,0.1996,193.45,1,"Oklahoma City, OK
(35.468494, -97.521264)","Seattle, WA
(47.603229, -122.33028)"
2017,3,31453,31703,"Houston, TX","New York City, NY (Metropolitan Area)",1465,3474,260.13,UA,0.5405,298.44,WN,0.1175,227.52,1,"Houston, TX
(29.760803, -95.369506)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)"
2017,2,31136,32575,"Jacksonville, FL","Los Angeles, CA (Metropolitan Area)",2153,317,334.97,DL,0.3193,361.15,WN,0.2319,271.68,1,"Jacksonville, FL
(30.325968, -81.65676)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)"
2017,3,30647,34492,"Cleveland, OH (Metropolitan Area)","Raleigh/Durham, NC",416,227,149.69,AA,0.3007,165.24,F9,0.2513,71.52,1,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Raleigh/Durham, NC
(42.673348, -72.179683)"
2017,2,31703,33195,"New York City, NY (Metropolitan Area)","Tampa, FL (Metropolitan Area)",1055,4721,187.98,UA,0.2866,183.84,WN,0.109,175,1,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)"
2017,3,31295,30852,"Detroit, MI","Washington, DC (Metropolitan Area)",409,2044,154.35,DL,0.5375,173.6,WN,0.235,116.37,1,"Detroit, MI
(42.332916, -83.047853)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
2017,1,32211,33195,"Las Vegas, NV","Tampa, FL (Metropolitan Area)",1984,826,208.67,WN,0.4678,239.92,F9,0.3654,110,1,"Las Vegas, NV
(36.169202, -115.140597)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)"
2017,2,30721,32575,"Boston, MA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",2611,4087,306.32,AA,0.2727,323.87,VX,0.1124,287.66,1,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)"
2017,2,30466,33192,"Phoenix, AZ","Sacramento, CA",647,1020,177.38,WN,0.6405,181.25,AA,0.3307,171.62,1,"Phoenix, AZ
(30.406931, -87.217578)","Sacramento, CA
(38.582087, -121.50012)"
2017,1,33495,34492,"New Orleans, LA","Raleigh/Durham, NC",779,212,217.98,WN,0.3223,215.29,G4,0.1457,103.12,1,"New Orleans, LA
(29.950621, -90.074948)","Raleigh/Durham, NC
(42.673348, -72.179683)"
2017,3,31295,34614,"Detroit, MI","Salt Lake City, UT",1481,377,298.7,DL,0.7895,321.45,F9,0.0774,149.83,1,"Detroit, MI
(42.332916, -83.047853)","Salt Lake City, UT
(40.758478, -111.888142)"
2017,1,31714,30466,"Fort Myers, FL","Phoenix, AZ",1868,164,320.26,AA,0.3795,325.71,UA,0.1494,285.72,1,"Fort Myers, FL
(40.253979, -103.801495)","Phoenix, AZ
(30.406931, -87.217578)"
2017,1,31503,31703,"Eagle, CO","New York City, NY (Metropolitan Area)",1746,310,506.16,AA,0.5143,457.21,AA,0.5143,457.21,1,"Eagle, CO
(38.8339, -120.040604)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)"
2017,2,30693,32457,"Nashville, TN","San Francisco, CA (Metropolitan Area)",1969,763,301.24,WN,0.5232,279.11,WN,0.5232,279.11,1,"Nashville, TN
(36.166687, -86.779932)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)"
2017,1,30792,30852,"Buffalo, NY","Washington, DC (Metropolitan Area)",296,387,173.96,WN,0.5582,172.95,WN,0.5582,172.95,1,"Buffalo, NY
(39.945422, -78.64671)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
2017,2,32337,32575,"Indianapolis, IN","Los Angeles, CA (Metropolitan Area)",1814,1011,279.64,WN,0.3596,260.31,WN,0.3596,260.31,1,"Indianapolis, IN
(39.76845, -86.156212)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)"
2017,1,33105,31714,"Cincinnati, OH","Fort Myers, FL",879,414,160.9,DL,0.4952,219.12,F9,0.4678,92.7,1,"Cincinnati, OH
(39.104427, -84.513808)","Fort Myers, FL
(40.253979, -103.801495)"
2017,1,30977,32070,"Chicago, IL","Harrisburg, PA",594,176,298.06,UA,0.5038,284,UA,0.5038,284,1,"Chicago, IL
(41.775002, -87.696388)","Harrisburg, PA
(40.259572, -76.881821)"
2017,2,33105,31453,"Cincinnati, OH","Houston, TX",886,388,195.4,UA,0.3884,246.71,F9,0.2384,83.01,1,"Cincinnati, OH
(39.104427, -84.513808)","Houston, TX
(29.760803, -95.369506)"
2017,1,30666,32211,"Bellingham, WA","Las Vegas, NV",954,545,99.04,G4,0.589,87.86,G4,0.589,87.86,1,"Bellingham, WA
(41.698264, -88.077915)","Las Vegas, NV
(36.169202, -115.140597)"
2017,1,33198,33342,"Kansas City, MO","Milwaukee, WI",436,197,197.06,WN,0.8773,192.71,WN,0.8773,192.71,1,"Kansas City, MO
(39.099792, -94.578559)","Milwaukee, WI
(43.041072, -87.909421)"
2017,3,30466,30559,"Phoenix, AZ","Seattle, WA",1107,2452,154.44,AS,0.3789,150.04,AS,0.3789,150.04,1,"Phoenix, AZ
(30.406931, -87.217578)","Seattle, WA
(47.603229, -122.33028)"
2017,3,30994,32457,"Charleston, SC","San Francisco, CA (Metropolitan Area)",2396,180,327.18,DL,0.3747,343.19,UA,0.2367,308.44,1,"Charleston, SC
(32.77647, -79.931027)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)"
2017,1,31136,30852,"Jacksonville, FL","Washington, DC (Metropolitan Area)",663,1083,181.24,AA,0.3129,184.96,B6,0.2276,133.47,1,"Jacksonville, FL
(30.325968, -81.65676)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
2017,2,32575,34653,"Los Angeles, CA (Metropolitan Area)","Tulsa, OK",1283,371,239.65,WN,0.3668,249.46,G4,0.2282,109.55,1,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Tulsa, OK
(61.096484, -160.967455)"
2017,3,30977,32457,"Chicago, IL","San Francisco, CA (Metropolitan Area)",1855,5930,212.33,UA,0.4225,226.08,WN,0.1816,204.22,1,"Chicago, IL
(41.775002, -87.696388)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)"
2017,1,33244,33195,"Memphis, TN","Tampa, FL (Metropolitan Area)",655,252,169.31,WN,0.6249,154.3,WN,0.6249,154.3,1,"Memphis, TN
(35.143378, -90.052136)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)"
2017,2,30713,34614,"Boise, ID","Salt Lake City, UT",290,194,204.33,DL,0.7824,221.85,AS,0.2165,141.05,1,"Boise, ID
(43.597772, -83.884521)","Salt Lake City, UT
(40.758478, -111.888142)"
2017,1,33198,30693,"Kansas City, MO","Nashville, TN",491,322,206.81,WN,0.932,204.33,WN,0.932,204.33,1,"Kansas City, MO
(39.099792, -94.578559)","Nashville, TN
(36.166687, -86.779932)"
2017,2,31295,34027,"Detroit, MI","West Palm Beach/Palm Beach, FL",1086,201,224.28,DL,0.849,226.08,WN,0.0695,181.92,1,"Detroit, MI
(42.332916, -83.047853)","West Palm Beach/Palm Beach, FL
(33.90976, -98.500854)"
2017,3,30397,31454,"Atlanta, GA (Metropolitan Area)","Orlando, FL",404,1976,131.69,DL,0.6083,149.98,WN,0.3422,103.41,1,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Orlando, FL
(28.538331, -81.378879)"
2017,2,30194,33570,"Dallas/Fort Worth, TX","San Diego, CA",1182,1682,192.75,AA,0.6117,203.65,WN,0.2795,193.94,1,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","San Diego, CA
(32.71576, -117.163817)"
2017,2,30194,34614,"Dallas/Fort Worth, TX","Salt Lake City, UT",999,1026,193.39,AA,0.4582,199.04,DL,0.4015,181.71,1,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Salt Lake City, UT
(40.758478, -111.888142)"
