tbl,Year,quarter,citymarketid,cityname,airportid,apt,TotalMkts,TotalFaredPax,TotalPerLFMkts,TotalAvgHubFare,TotalPerPrem,SHMkts,SHPax,SHPerLFMkts,SHAvgHubFare,SHPerPrem,LHMkts,LHPax,LHPerLFMkts,LHAvgHubFare,LHPerPrem,tbl7pk
Table 7,2018,4,34057,"Portland, OR",14057,PDX,119,3207660,0.7607,202.69,-0.0984,20,878020,0.607,149.4,-0.1066,99,2329640,0.8186,222.78,-0.0963,2018414057PDX
Table 7,2018,2,30154,"Nantucket, MA",10154,ACK,7,19210,1,211.1,0.0418,7,19210,1,211.1,0.0418,,,,,,2018210154ACK
Table 7,2018,3,34252,"Pasco/Kennewick/Richland, WA",14252,PSC,36,117760,0.2936,207.9,-0.1688,7,45650,0.3038,168.72,-0.2308,29,72110,0.2872,232.7,-0.1369,2018314252PSC
Table 7,2018,3,34794,"St. George, UT",14794,SGU,8,22020,0,173.56,0.1733,8,22020,0,173.56,0.1733,,,,,,2018314794SGU
Table 7,2018,4,30135,"Allentown/Bethlehem/Easton, PA",10135,ABE,25,115170,0.5192,184.59,-0.1823,7,37170,0.0815,246.07,0.1189,18,78000,0.7278,155.3,-0.3204,2018410135ABE
Table 7,2018,4,30140,"Albuquerque, NM",10140,ABQ,85,997630,0.9224,224.14,-0.0088,20,430910,0.9326,183.66,-0.0778,65,566720,0.9146,254.93,0.0336,2018410140ABQ
Table 7,2018,4,30208,"Augusta, GA",10208,AGS,41,81890,0,251.09,-0.0612,18,44140,0,225.2,-0.1215,23,37750,0,281.37,0.0032,2018410208AGS
Table 7,2018,4,30257,"Albany, NY",10257,ALB,63,521640,0.846,242.72,0.0172,21,143900,0.5797,227.46,0.0944,42,377740,0.9474,248.54,-0.0071,2018410257ALB
Table 7,2018,4,30279,"Amarillo, TX",10279,AMA,29,97290,0.7367,216.79,0.0351,8,64030,0.6688,196.73,0.0982,21,33260,0.8674,255.42,-0.046,2018410279AMA
Table 7,2018,4,30372,"Aspen, CO",10372,ASE,29,58050,0,387.98,0.5407,8,24120,0,307.09,0.3115,21,33930,0,445.49,0.6849,2018410372ASE
Table 7,2018,4,30397,"Atlanta, GA (Metropolitan Area)",10397,ATL,166,7504180,0.7877,211.14,0.0724,97,4336240,0.6934,189.42,0.0391,69,3167940,0.9167,240.87,0.1107,2018410397ATL
Table 7,2018,4,30408,"Appleton, WI",10408,ATW,40,103510,0.3549,224.22,-0.0534,7,16020,0,254.76,0.3041,33,87490,0.4199,218.63,-0.1057,2018410408ATW
