tbl,Year,quarter,citymarketid,city,markets,cur_passengers,cur_fare,cur_yield,distance,ly_passengers,ly_fare,ly_yield,ly_distance,Geocoded_City,tbl2pk
Table 2,2018,4,35412,"Knoxville, TN",6,160310,185.02,31.28,591.6,140460,176.49,29.32,601.9,,2018435412
Table 2,2018,4,35096,"Syracuse, NY",7,188720,195.2,26.05,749.2,182170,198.37,26.83,739.3,,2018435096
Table 2,2018,4,34685,"Savannah, GA",4,192840,184.65,24.85,743.1,179110,188.61,25.01,754,,2018434685
Table 2,2018,4,34653,"Tulsa, OK",11,311680,217.61,26.26,828.8,307590,211.03,25.87,815.8,,2018434653
Table 2,2018,4,34614,"Salt Lake City, UT",32,2272030,212.71,20.56,1034.6,2193920,200.75,19.63,1022.7,,2018434614
Table 2,2018,4,34576,"Rochester, NY",7,228010,189.46,33.91,558.8,209870,185.04,32.8,564.1,,2018434576
Table 2,2018,4,34570,"Reno, NV",10,473890,176.32,29.31,601.7,460650,168.45,28.17,598,,2018434570
Table 2,2018,4,34524,"Richmond, VA",13,505310,221.64,23.79,931.7,461990,230.14,25.08,917.6,,2018434524
Table 2,2018,4,34492,"Raleigh/Durham, NC",30,2077600,206.79,21.85,946.3,1931860,205.98,22.34,921.9,,2018434492
Table 2,2018,4,34321,"Portland, ME",3,123310,158.38,31.04,510.3,115600,162.07,33.28,487,,2018434321
Table 2,2018,4,34262,"Palm Springs, CA",6,246370,217.61,19.24,1130.8,209020,217.03,19.41,1118.4,,2018434262
Table 2,2018,4,34100,"Philadelphia, PA",39,3454780,236.33,19.89,1188.2,3390090,227.35,19.13,1188.3,,2018434100
Table 2,2018,4,34057,"Portland, OR",35,2827510,192.92,16.39,1177,2728980,183.3,15.45,1186.1,,2018434057
Table 2,2018,4,34027,"West Palm Beach/Palm Beach, FL",10,983120,230.57,22.72,1014.7,938490,207.43,20.63,1005.6,,2018434027
Table 2,2018,4,33851,"Oklahoma City, OK",13,473610,215.08,22.67,948.5,446510,218.69,22.98,951.6,,2018433851
Table 2,2018,4,33667,"Norfolk, VA (Metropolitan Area)",15,459230,232.91,20.34,1145.3,426880,235.11,20.66,1137.8,,2018433667
Table 2,2018,4,33570,"San Diego, CA",45,4024350,204.57,16.06,1274.1,3711870,200.47,15.65,1280.6,,2018433570
Table 2,2018,4,33495,"New Orleans, LA",32,2161720,205.93,19.84,1038,2008270,198.79,19.41,1024.4,,2018433495
Table 2,2018,4,33485,"Madison, WI",5,124640,278.77,25.21,1106,106580,283.11,24.95,1134.6,,2018433485
Table 2,2018,4,33342,"Milwaukee, WI",24,1041240,207.89,19.86,1046.8,1041270,194.39,18.87,1030.4,,2018433342
Table 2,2018,4,33316,"Omaha, NE",16,611800,200.34,20.34,985.1,577200,202.38,20.64,980.6,,2018433316
Table 2,2018,4,33244,"Memphis, TN",17,603180,228.16,25.12,908.3,586880,222.55,24.24,917.9,,2018433244
Table 2,2018,4,33214,"San Antonio, TX",29,1458840,217.42,19.78,1099.2,1347100,215.63,19.9,1083.5,,2018433214
Table 2,2018,4,33198,"Kansas City, MO",31,1779450,201.02,21.56,932.3,1750530,198.63,21.45,926,,2018433198
Table 2,2018,4,33195,"Tampa, FL (Metropolitan Area)",48,3535230,194.05,18.06,1074.7,3352210,189.49,17.77,1066.6,,2018433195
Table 2,2018,4,33192,"Sacramento, CA",27,2024250,182.99,19.04,961.2,1847800,180.93,19.36,934.6,,2018433192
Table 2,2018,4,33158,"Midland/Odessa, TX",2,109050,278.03,69.79,398.4,98920,267.74,67.21,398.4,,2018433158
Table 2,2018,4,33105,"Cincinnati, OH",23,1184310,198.98,20.66,963.2,1070510,191.8,19.97,960.3,,2018433105
Table 2,2018,4,33044,"Louisville, KY",14,454910,216.85,24.95,869.2,408410,221.76,25.4,873,,2018433044
Table 2,2018,4,32600,"Little Rock, AR",7,153050,246.56,30.91,797.7,145040,245.22,30.4,806.5,,2018432600
Table 2,2018,4,32575,"Los Angeles, CA (Metropolitan Area)",66,14222520,221.04,16.8,1315.8,13725890,209.07,15.96,1309.7,,2018432575
Table 2,2018,4,32467,"Miami, FL (Metropolitan Area)",54,6961910,209.22,17.22,1214.8,6680860,187.44,15.37,1219.3,,2018432467
Table 2,2018,4,32457,"San Francisco, CA (Metropolitan Area)",55,11069600,220.26,17.29,1274,10710690,209.94,16.47,1274.5,,2018432457
Table 2,2018,4,32337,"Indianapolis, IN",25,1464270,214.03,21.29,1005.5,1412450,203.02,20.35,997.5,,2018432337
Table 2,2018,4,32211,"Las Vegas, NV",60,6457360,183.9,15.31,1201.6,6147920,172.12,14.24,1208.5,,2018432211
Table 2,2018,4,31986,"Grand Rapids, MI",13,359480,207.66,19.52,1063.8,289440,213.65,19.86,1075.9,,2018431986
Table 2,2018,4,31884,"Spokane, WA",10,486060,157.8,24.78,636.7,445880,162.67,24.89,653.5,,2018431884
Table 2,2018,4,31871,"Greenville/Spartanburg, SC",5,136880,224.42,35.06,640,124980,209.1,32.57,642,,2018431871
Table 2,2018,4,31714,"Fort Myers, FL",20,1298980,221.22,19.69,1123.7,1248070,211.08,18.85,1119.6,,2018431714
Table 2,2018,4,31703,"New York City, NY (Metropolitan Area)",77,16700050,240.46,19.2,1252.2,15958690,231.74,18.61,1245.2,,2018431703
Table 2,2018,4,31650,"Minneapolis/St. Paul, MN",41,3666840,213.82,20.12,1062.8,3543220,205.38,19.53,1051.8,,2018431650
Table 2,2018,4,31454,"Orlando, FL",55,6550290,186.49,16.67,1118.7,6323970,179.43,15.99,1122.2,,2018431454
Table 2,2018,4,31453,"Houston, TX",54,4818980,229.93,22.36,1028.1,4637090,224.79,21.74,1034,,2018431453
Table 2,2018,4,31423,"Des Moines, IA",10,246810,220.32,20.28,1086.6,228310,224.2,20.69,1083.5,,2018431423
Table 2,2018,4,31295,"Detroit, MI",34,3154210,223.83,21.94,1020.1,3125210,210.92,20.84,1012.1,,2018431295
Table 2,2018,4,31136,"Jacksonville, FL",19,895730,211.39,21.8,969.5,785890,222.78,23.27,957.4,,2018431136
Table 2,2018,4,31123,"St. Louis, MO",35,1943150,216,23.22,930.3,1898670,213.28,23.06,924.8,,2018431123
Table 2,2018,4,31066,"Columbus, OH",24,1268210,210.35,22.78,923.5,1204010,208.21,22.5,925.2,,2018431066
Table 2,2018,4,31057,"Charlotte, NC",41,2422480,242.6,27.91,869.1,2387520,229.67,26.03,882.3,,2018431057
Table 2,2018,4,30994,"Charleston, SC",12,550540,201.54,24.17,833.7,495320,208.11,25.28,823.1,,2018430994
Table 2,2018,4,30977,"Chicago, IL",66,9777190,211.28,21.84,967.5,9796700,190.63,19.87,959.6,,2018430977
Table 2,2018,4,30852,"Washington, DC (Metropolitan Area)",69,9517990,219.53,20.76,1057.6,9385030,206.74,19.56,1057.1,,2018430852
Table 2,2018,4,30792,"Buffalo, NY",15,708500,182.47,19.4,940.4,700920,180.81,19.85,911,,2018430792
Table 2,2018,4,30721,"Boston, MA (Metropolitan Area)",52,7329340,212.33,17.37,1222.3,7002040,203.61,16.84,1209.2,,2018430721
Table 2,2018,4,30713,"Boise, ID",12,535410,160.64,27.69,580.2,486050,163.7,27.68,591.3,,2018430713
Table 2,2018,4,30693,"Nashville, TN",36,2414610,207.66,23.16,896.7,2176720,211.68,23.71,892.8,,2018430693
Table 2,2018,4,30647,"Cleveland, OH (Metropolitan Area)",27,1497610,205.7,20.88,985.4,1439320,198.12,19.98,991.6,,2018430647
Table 2,2018,4,30615,"El Paso, TX",12,407770,215.68,25.47,846.8,371030,216.63,25.78,840.3,,2018430615
Table 2,2018,4,30599,"Birmingham, AL",10,324830,235.77,30.23,779.8,296720,246.74,31.07,794.1,,2018430599
