tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,cur_passengers,cur_fare,ly_fare,ly_passengers,amount_change,percent_change,amount_change_pax,percent_change_pax,Geocoded_City1,Geocoded_City2
Table 3,2018,3,30977,34570,"Chicago, IL","Reno, NV",28730,298.24,252.32,31140,45.92,0.182,-2410,-0.0774,,
Table 3,2018,3,30977,34614,"Chicago, IL","Salt Lake City, UT",94710,250,211.35,102350,38.65,0.1829,-7640,-0.0746,,
Table 3,2018,3,31057,30647,"Charlotte, NC","Cleveland, OH (Metropolitan Area)",35290,263.23,213.03,42830,50.2,0.2356,-7540,-0.176,,
Table 3,2018,3,31066,30325,"Columbus, OH","Denver, CO",61740,201.04,174.6,60080,26.44,0.1515,1660,0.0276,,
Table 3,2018,3,30397,30647,"Atlanta, GA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",96010,176,140.44,107420,35.56,0.2532,-11410,-0.1062,,
Table 3,2018,3,30977,33195,"Chicago, IL","Tampa, FL (Metropolitan Area)",189080,180.62,153.45,195370,27.17,0.177,-6290,-0.0322,,
Table 3,2018,3,30977,33198,"Chicago, IL","Kansas City, MO",141250,190.29,163.86,147660,26.43,0.1613,-6410,-0.0434,,
Table 3,2018,3,30977,33214,"Chicago, IL","San Antonio, TX",81120,224.01,171.5,90510,52.51,0.3062,-9390,-0.1038,,
Table 3,2018,3,30977,33244,"Chicago, IL","Memphis, TN",53320,196.44,163.01,57040,33.43,0.2051,-3720,-0.0652,,
Table 3,2018,3,30977,33316,"Chicago, IL","Omaha, NE",70930,175.85,147.94,75240,27.91,0.1887,-4310,-0.0573,,
Table 3,2018,3,30977,33495,"Chicago, IL","New Orleans, LA",112980,176.25,139.21,120420,37.04,0.2661,-7440,-0.0618,,
Table 3,2018,3,30325,33244,"Denver, CO","Memphis, TN",30720,181.14,152.03,30960,29.11,0.1915,-240,-0.0078,,
Table 3,2018,3,30325,33485,"Denver, CO","Madison, WI",33210,192.58,161,31130,31.57,0.1961,2080,0.0668,,
Table 3,2018,3,30325,33214,"Denver, CO","San Antonio, TX",64720,186.1,142.74,79670,43.35,0.3037,-14950,-0.1876,,
Table 3,2018,3,30325,33495,"Denver, CO","New Orleans, LA",70360,184.33,155.24,69710,29.09,0.1874,650,0.0093,,
Table 3,2018,3,30325,34614,"Denver, CO","Salt Lake City, UT",130250,145.19,126.01,142520,19.18,0.1522,-12270,-0.0861,,
Table 3,2018,3,30397,30423,"Atlanta, GA (Metropolitan Area)","Austin, TX",86970,186.74,161.98,83590,24.75,0.1528,3380,0.0404,,
Table 3,2018,3,30397,30466,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",95270,253.28,190.86,104040,62.41,0.327,-8770,-0.0843,,
Table 3,2018,3,30397,30852,"Atlanta, GA (Metropolitan Area)","Washington, DC (Metropolitan Area)",433360,197.56,170.77,466780,26.78,0.1568,-33420,-0.0716,,
Table 3,2018,3,30397,30977,"Atlanta, GA (Metropolitan Area)","Chicago, IL",385580,171.41,147.43,405340,23.98,0.1626,-19760,-0.0488,,
Table 3,2018,3,30397,31057,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",36130,271.45,234.28,35170,37.18,0.1587,960,0.0273,,
Table 3,2018,3,30397,31123,"Atlanta, GA (Metropolitan Area)","St. Louis, MO",83460,178.6,143.24,91830,35.36,0.2468,-8370,-0.0912,,
Table 3,2018,3,30397,31650,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",118930,238.5,207.04,125980,31.46,0.152,-7050,-0.056,,
Table 3,2018,3,30397,33495,"Atlanta, GA (Metropolitan Area)","New Orleans, LA",90220,163,125.63,93320,37.37,0.2975,-3100,-0.0332,,
Table 3,2018,3,30397,34027,"Atlanta, GA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",62900,170.66,143.88,68940,26.78,0.1862,-6040,-0.0876,,
Table 3,2018,3,30423,30852,"Austin, TX","Washington, DC (Metropolitan Area)",109050,287.26,237.27,117800,49.99,0.2107,-8750,-0.0743,,
Table 3,2018,3,30423,30977,"Austin, TX","Chicago, IL",130860,221.64,160.01,148720,61.63,0.3852,-17860,-0.1201,,
Table 3,2018,3,30977,34027,"Chicago, IL","West Palm Beach/Palm Beach, FL",22660,268.07,226.73,20400,41.34,0.1823,2260,0.1108,,
Table 3,2018,3,30431,31703,"Asheville, NC","New York City, NY (Metropolitan Area)",28660,169.68,146.3,32170,23.38,0.1598,-3510,-0.1091,,
Table 3,2018,3,30466,30559,"Phoenix, AZ","Seattle, WA",230640,178.47,154.44,225630,24.03,0.1556,5010,0.0222,,
Table 3,2018,3,30647,30194,"Cleveland, OH (Metropolitan Area)","Dallas/Fort Worth, TX",66230,227.21,196.97,63080,30.23,0.1535,3150,0.0499,,
Table 3,2018,3,30647,30325,"Cleveland, OH (Metropolitan Area)","Denver, CO",86100,183.01,150.35,83180,32.66,0.2172,2920,0.0351,,
Table 3,2018,3,30647,30466,"Cleveland, OH (Metropolitan Area)","Phoenix, AZ",46260,224.66,182.99,48800,41.68,0.2278,-2540,-0.052,,
Table 3,2018,3,30647,30559,"Cleveland, OH (Metropolitan Area)","Seattle, WA",39290,254.01,208.48,42600,45.53,0.2184,-3310,-0.0777,,
Table 3,2018,3,30647,31453,"Cleveland, OH (Metropolitan Area)","Houston, TX",42480,299.47,216.72,41370,82.76,0.3819,1110,0.0268,,
Table 3,2018,3,30647,32457,"Cleveland, OH (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",67240,301.11,250.64,69770,50.48,0.2014,-2530,-0.0363,,
Table 3,2018,3,30647,32575,"Cleveland, OH (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",101280,243.06,200.61,103700,42.45,0.2116,-2420,-0.0233,,
Table 3,2018,3,30647,33570,"Cleveland, OH (Metropolitan Area)","San Diego, CA",26040,246.98,197.47,30210,49.51,0.2507,-4170,-0.138,,
Table 3,2018,3,30647,34057,"Cleveland, OH (Metropolitan Area)","Portland, OR",24840,243.52,200.84,24840,42.68,0.2125,0,0,,
Table 3,2018,3,30977,30194,"Chicago, IL","Dallas/Fort Worth, TX",390070,202.74,166.81,405160,35.94,0.2154,-15090,-0.0372,,
Table 3,2018,3,30977,30198,"Chicago, IL","Pittsburgh, PA",108530,188.5,145.55,114910,42.96,0.2952,-6380,-0.0555,,
Table 3,2018,3,30977,30325,"Chicago, IL","Denver, CO",389660,191.77,161.96,383060,29.81,0.184,6600,0.0172,,
Table 3,2018,3,30977,30466,"Chicago, IL","Phoenix, AZ",300210,201.91,165.47,299880,36.44,0.2202,330,0.0011,,
Table 3,2018,3,30977,30647,"Chicago, IL","Cleveland, OH (Metropolitan Area)",118310,195.46,153.31,134060,42.16,0.275,-15750,-0.1175,,
Table 3,2018,3,30977,30852,"Chicago, IL","Washington, DC (Metropolitan Area)",496340,214.76,169.04,555830,45.72,0.2704,-59490,-0.107,,
Table 3,2018,3,30977,31066,"Chicago, IL","Columbus, OH",106650,184.52,151.84,110760,32.68,0.2152,-4110,-0.0371,,
Table 3,2018,3,30977,31295,"Chicago, IL","Detroit, MI",136670,184.86,141.81,147080,43.05,0.3036,-10410,-0.0708,,
Table 3,2018,3,30977,31453,"Chicago, IL","Houston, TX",259470,210.77,171.54,244310,39.23,0.2287,15160,0.062,,
