tbl,Year,quarter,mkt_fare,citymarketid_1,citymarketid_2,city1,city2,carairlineid,car,carpax,carpaxshare,caravgfare,fareinc_min,fareinc_minpaxsh,fareinc_max,fare_inc_maxpaxsh,fare_inc_x3paxsh,Geocoded_City1,Geocoded_City2,tbl5pk
Table 5,2018,3,130.92,30325,32211,"Denver, CO","Las Vegas, NV",19393,WN,58490,0.2773,131.38,75,0.0957,175,0.0774,0.0983,,,20183303253221119393WN
Table 5,2018,3,130.92,30325,32211,"Denver, CO","Las Vegas, NV",19977,UA,23840,0.113,160.69,75,0.1128,350,0.0638,0.1841,,,20183303253221119977UA
Table 5,2018,3,139.47,30325,33316,"Denver, CO","Omaha, NE",19393,WN,14550,0.2265,147.51,100,0.1924,300,0.0564,0.0034,,,20183303253331619393WN
Table 5,2018,3,139.47,30325,33316,"Denver, CO","Omaha, NE",19977,UA,13680,0.2129,153.65,75,0.0512,275,0.0702,0.1681,,,20183303253331619977UA
Table 5,2018,3,271.45,30397,31057,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",19790,DL,9580,0.2652,275.49,150,0.0522,375,0.0595,0.0115,,,20183303973105719790DL
Table 5,2018,3,271.45,30397,31057,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",19805,AA,8150,0.2256,267.78,175,0.0969,375,0.0613,0.0245,,,20183303973105719805AA
Table 5,2018,3,283.97,30397,33044,"Atlanta, GA (Metropolitan Area)","Louisville, KY",19790,DL,12430,0.4705,294.94,125,0.0756,500,0.1432,0.3025,,,20183303973304419790DL
Table 5,2018,3,289.74,30397,33244,"Atlanta, GA (Metropolitan Area)","Memphis, TN",19790,DL,15930,0.4695,299.76,125,0.0665,500,0.1387,0.3296,,,20183303973324419790DL
Table 5,2018,3,86.43,30397,35356,"Atlanta, GA (Metropolitan Area)","Trenton, NJ",20436,F9,9960,0.4982,86.63,75,0.4458,150,0.1044,0,,,20183303973535620436F9
Table 5,2018,3,119.66,30431,32467,"Asheville, NC","Miami, FL (Metropolitan Area)",20368,G4,12720,0.4379,99.06,75,0.4041,175,0.0629,0.033,,,20183304313246720368G4
Table 5,2018,3,111.11,30431,33195,"Asheville, NC","Tampa, FL (Metropolitan Area)",20368,G4,8830,0.4606,86.47,75,0.4904,150,0.0759,0,,,20183304313319520368G4
Table 5,2018,3,78.78,30466,34314,"Phoenix, AZ","Provo, UT",20368,G4,9840,0.4977,77.47,75,0.5996,125,0.0986,0,,,20183304663431420368G4
Table 5,2018,3,124.3,30559,31884,"Seattle, WA","Spokane, WA",19930,AS,43110,0.419,125.66,75,0.1473,175,0.187,0.0246,,,20183305593188419930AS
Table 5,2018,3,122.59,30647,33342,"Cleveland, OH (Metropolitan Area)","Milwaukee, WI",19393,WN,10700,0.4167,105.92,75,0.3645,225,0.0589,0,,,20183306473334219393WN
Table 5,2018,3,320.06,30647,34100,"Cleveland, OH (Metropolitan Area)","Philadelphia, PA",19805,AA,12560,0.4486,323.36,175,0.0589,450,0.0518,0.0334,,,20183306473410019805AA
Table 5,2018,3,131.35,30713,30559,"Boise, ID","Seattle, WA",19790,DL,11430,0.1379,114.2,75,0.4147,225,0.0612,0.1076,,,20183307133055919790DL
Table 5,2018,3,131.35,30713,30559,"Boise, ID","Seattle, WA",19930,AS,30120,0.3635,135.44,75,0.2205,275,0.074,0.1351,,,20183307133055919930AS
